feature,raw,normalized,category,abs_norm
return_10d,0.007382271266146348,0.007382271266146348,other,0.007382271266146348
poly_return_1d^2,0.006584083466288317,0.006584083466288317,other,0.006584083466288317
scaled_volume_ma_5,-0.005720433414884318,-0.005720433414884318,ma,0.005720433414884318
scaled_poly_return_1d volatility_std_20d,0.004759841441831113,0.004759841441831113,other,0.004759841441831113
scaled_open,0.004744413320493585,0.004744413320493585,other,0.004744413320493585
return_2d,-0.00458673028852907,-0.00458673028852907,other,0.00458673028852907
scaled_volume_over_ma_10,-0.004544267827869438,-0.004544267827869438,ma,0.004544267827869438
lag_return_10d,-0.0043507504851773475,-0.0043507504851773475,other,0.0043507504851773475
scaled_poly_rsi_14 volume_ma_10,0.004061159671932932,0.004061159671932932,ma,0.004061159671932932
price_over_ma_10,0.003965907100709561,0.003965907100709561,ma,0.003965907100709561
return_1w,0.003920947807942876,0.003920947807942876,other,0.003920947807942876
scaled_price_over_ma_5,-0.003759808277646775,-0.003759808277646775,ma,0.003759808277646775
poly_rsi_14 volatility_std_20d,-0.003668852367737635,-0.003668852367737635,other,0.003668852367737635
scaled_poly_ma_10 volume_ma_10,0.003601676831745304,0.003601676831745304,ma,0.003601676831745304
scaled_poly_return_1d^2,-0.0035681895951437115,-0.0035681895951437115,other,0.0035681895951437115
scaled_price_over_ma_200,0.003538323386812684,0.003538323386812684,ma,0.003538323386812684
log_return_10d,-0.0035099713569699703,-0.0035099713569699703,other,0.0035099713569699703
scaled_poly_return_1d rsi_14,0.0034879813431392204,0.0034879813431392204,other,0.0034879813431392204
poly_return_1d return_5d,-0.0033737475095121385,-0.0033737475095121385,other,0.0033737475095121385
scaled_volume_over_ma_20,0.0033305011821991555,0.0033305011821991555,ma,0.0033305011821991555
return_5d,0.003230602529299374,0.003230602529299374,other,0.003230602529299374
rolling_cum_return_10d,-0.0031676576525941228,-0.0031676576525941228,other,0.0031676576525941228
poly_return_5d volatility_std_20d,0.003152575800282623,0.003152575800282623,other,0.003152575800282623
scaled_poly_macd rsi_14,-0.003047044863052974,-0.003047044863052974,other,0.003047044863052974
scaled_poly_macd^2,-0.0029266846874280482,-0.0029266846874280482,other,0.0029266846874280482
scaled_return_2d,-0.0028945600016394295,-0.0028945600016394295,other,0.0028945600016394295
lag_return_1d,0.002878035223693799,0.002878035223693799,other,0.002878035223693799
scaled_volume_ma_20,0.0028682546257495487,0.0028682546257495487,ma,0.0028682546257495487
ma_10,0.0028136554595647617,0.0028136554595647617,ma,0.0028136554595647617
scaled_volume_ma_50,-0.002773806959690838,-0.002773806959690838,ma,0.002773806959690838
poly_return_5d,0.002705743932510788,0.002705743932510788,other,0.002705743932510788
scaled_poly_ma_10,-0.0026596582066887374,-0.0026596582066887374,ma,0.0026596582066887374
scaled_poly_ma_10 volatility_std_20d,-0.0026269682599813554,-0.0026269682599813554,ma,0.0026269682599813554
