feature,mean_shift
poly_volume_ma_10^2,3846958434478306.5
poly_ma_10 volume_ma_10,3002116880.4209976
poly_ma_20 volume_ma_10,2450870098.206093
poly_rsi_14 volume_ma_10,483690726.49947834
obv,360272643.20987654
poly_macd volume_ma_10,179149669.621687
volume,28206110.69958847
volume_ma_5,27457469.163696483
volume_ma_10,26994219.143716373
volume_ma_20,26428863.53404247
volume_ma_50,24611589.70221883
poly_volume_ma_10,23735682.962962963
poly_volatility_std_20d volume_ma_10,991725.1074812175
poly_return_5d volume_ma_10,790678.1796886316
poly_return_1d volume_ma_10,171285.8754214575
poly_ma_10 ma_20,6341.8698208254245
poly_ma_20^2,6101.88426183111
poly_ma_10^2,5395.291352731285
poly_ma_10 rsi_14,2566.1422042394997
poly_ma_20 rsi_14,2563.6591543502964
poly_rsi_14^2,1121.3857108522097
poly_ma_10 macd,348.0490140520876
poly_ma_20 macd,320.74327090190155
poly_macd rsi_14,113.03027888591492
poly_ma_20,24.52707841975206
poly_ma_10,19.01605776563099
low,14.730000123075001
close,14.168971403145491
open,13.898231004000706
ma_5,13.712264138089722
high,13.41530872863018
ma_10,13.25488223480096
ma_20,12.36925550414
poly_rsi_14,11.450104417082095
ma_50,10.5366193548397
rsi_14,8.659310611273888
ma_100,8.451941323574715
momentum_20d,6.083335114356065
momentum_10d,3.5528761414099206
macd,2.1955688956091866
poly_macd,2.1955688956091866
macd_signal,2.094496465263936
momentum_5d,1.89845731051692
ma_200,1.8925478741010977
poly_return_5d ma_10,1.7800485241925934
scaled_volume_ma_50,1.67372797370937
poly_macd^2,1.6246675003251472
scaled_volume_ma_20,1.5979082062459637
scaled_ma_200_slope,1.5973240931760038
poly_return_5d ma_20,1.5400765911137257
scaled_price_over_ma_200,1.5038255380902528
scaled_volume_ma_10,1.4299377896554843
atr_14,1.395696164159856
scaled_volume_ma_5,1.301718527818401
scaled_volatility_std_20d,1.2366866002346795
scaled_price_over_ma_100,1.2359855971549885
scaled_poly_volatility_std_20d volume_ma_10,1.2256495568158965
scaled_volatility_std_50d,1.2082172444473889
scaled_ma_100_slope,1.1184784415145004
scaled_volatility_std_10d,1.0454609487252076
scaled_poly_ma_10 volume_ma_10,1.0182176071591833
scaled_volume,1.017758263315922
poly_ma_20 volatility_std_20d,0.964137515024182
poly_ma_10 volatility_std_20d,0.9395555209266373
scaled_atr_14,0.9034421376128767
scaled_price_over_ma_50,0.8043662436349193
scaled_poly_volatility_std_20d^2,0.7943961890388096
scaled_ma_50_slope,0.781711924337471
scaled_poly_ma_20 volume_ma_10,0.7675158107510252
scaled_poly_macd volume_ma_10,0.7107460236988999
scaled_poly_ma_10 volatility_std_20d,0.6706855204736641
scaled_macd_signal,0.65859122942335
scaled_macd,0.6442984123469493
scaled_poly_ma_10 rsi_14,0.5971027409437675
scaled_rsi_14,0.5832356004178944
scaled_poly_macd rsi_14,0.5784999490408673
scaled_poly_rsi_14 volatility_std_20d,0.5640007065712644
poly_return_5d rsi_14,0.5388765416025142
scaled_rolling_cum_return_20d,0.5379031704084978
scaled_poly_ma_10,0.5004493894874136
scaled_stoch_k,0.49047268458761306
scaled_stoch_d,0.48744826005183395
scaled_poly_macd volatility_std_20d,0.48499808451994664
scaled_volatility_ratio_20_50,0.46064802050362175
scaled_obv,0.44681993416870314
scaled_return_10d,0.4306926806531737
scaled_lag_return_10d,0.4195793575395552
scaled_open,0.40703907817620133
poly_return_1d ma_10,0.40637804625069335
scaled_poly_ma_10^2,0.39934387385636605
poly_return_1d ma_20,0.39645069991523685
scaled_price_over_ma_20,0.38365637360039384
ma_5_slope,0.3796914621033839
ma_10_slope,0.35528761414099197
scaled_price_over_ma_10,0.3545020868519959
scaled_poly_rsi_14 volume_ma_10,0.34718500871418606
scaled_poly_return_5d^2,0.32961579408647457
scaled_poly_return_1d^2,0.32499205144161347
scaled_return_5d,0.30570680031248315
ma_20_slope,0.3041667557178032
scaled_lag_return_5d,0.2914792841935464
scaled_price_over_ma_5,0.27184586372735786
ma_50_slope,0.2680318325324725
scaled_poly_return_5d rsi_14,0.2623945333088893
scaled_return_3d,0.2599522556507279
scaled_ma_50,0.2589383912910391
scaled_poly_return_5d volume_ma_10,0.2552867482754483
poly_rsi_14 volatility_std_20d,0.2530216608911482
scaled_lag_return_3d,0.24380430332894842
scaled_volatility_ratio_10_20,0.23943868421209458
scaled_poly_return_1d return_5d,0.22202875069775024
ma_200_slope,0.21653495570257714
scaled_return_2d,0.21466761382316307
ma_100_slope,0.21161711635642858
scaled_lag_return_2d,0.21029114422582068
scaled_poly_return_5d volatility_std_20d,0.16204359828211148
scaled_return_1d,0.15292762231390114
scaled_ma_100,0.15003826447607738
scaled_lag_return_1d,0.14626023966455765
price_over_ma_200,0.1439934770910577
stoch_k,0.13051693427194544
stoch_d,0.12362022544496787
scaled_poly_return_1d volume_ma_10,0.1200163561401191
scaled_poly_return_1d rsi_14,0.11645761826761616
poly_return_1d rsi_14,0.10566312170512973
scaled_poly_macd^2,0.10562237769756594
macd_hist,0.10107243034525044
scaled_macd_hist,0.09552930294600269
scaled_poly_return_1d volatility_std_20d,0.091609581315283
scaled_volume_over_ma_50,0.08531051835206976
volatility_ratio_20_50,0.08221699059487941
price_over_ma_100,0.07594927831380238
scaled_volume_over_ma_20,0.06155268874297715
scaled_poly_return_5d macd,0.04633408789493832
price_over_ma_50,0.04163624630011897
rolling_cum_return_20d,0.03660397277619373
poly_macd volatility_std_20d,0.036206962846988454
